year,Haaretz,Maariv,Makor,Yated,Yedioth
1993,0.0005617977528089888,0.0014104372355430183,,,0.0
1994,0.00038095238095238096,0.0003447087211306446,,,0.0017101325352714834
1995,0.001349527665317139,0.000749063670411985,,,0.0007689350249903883
1996,0.002117896223085069,0.0005827505827505828,,,0.0009484666455896301
1997,0.003183868400106129,0.0006251953735542357,,,0.00183206106870229
1998,0.0017539463793535455,0.0009630818619582664,,,0.0005395198273536552
1999,0.0026797677534613666,0.0,,,0.0014367816091954023
2000,0.0011090573012939,0.000690846286701209,0.0,0.0,0.0012658227848101266
2001,0.0012079378774805867,0.0010434782608695651,0.0,0.005628517823639775,0.0017848036715961244
2002,0.000787246604999016,0.0,,0.002881844380403458,0.0013553808620222283
2003,0.0018337408312958435,0.0,,0.0013698630136986301,0.0013358268768367619
2004,0.0007676069852235655,0.0024752475247524753,,0.006648936170212766,0.0023885350318471337
2005,0.002133436772692009,0.001388062661114416,0.0,0.004573170731707317,0.001966085033177685
2006,0.00048559404337973454,0.0011170688114387846,0.0,0.006191950464396285,0.0007158196134574087
2007,0.001278976818545164,0.0010365379632029023,0.0,0.0014577259475218659,0.0011190689346463742
2008,0.0005497526113249038,0.00021944261575597982,0.0007457121551081282,0.0073439412484700125,0.0015645954403218597
2009,0.0007604562737642585,0.0004224757076468103,0.0,0.0025188916876574307,0.0017497812773403325
2010,0.0027729636048526864,0.000461361014994233,0.0,0.004524886877828055,0.0022593764121102574
2011,0.0031016237912789638,0.003531366846697133,0.0009022556390977444,0.010559662090813094,0.0029055690072639223
2012,0.0015663459386887446,0.001514004542013626,0.0003594536304816679,0.007032348804500703,0.002881844380403458
2013,0.000555247084952804,0.0034490191851692174,0.0017191977077363897,0.0022471910112359553,0.00327653997378768
2014,0.0012012012012012011,0.0025396825396825397,0.0015748031496062992,0.002277904328018223,0.0017674089784376105
2015,0.0017909475740801042,0.0047093212081844756,0.002894356005788712,0.0,0.005215123859191656
2016,0.009003478616738286,0.002609019754006709,0.0006435006435006435,0.0054585152838427945,0.001935483870967742
2017,0.00703125,0.0022079486150140505,0.0021929824561403508,0.0009165902841429881,0.0004224757076468103
2018,0.001558736006801757,0.0015885623510722795,0.0027731558513588465,0.0031847133757961785,0.002275830678197542
2019,0.0033419413641197025,0.006291946308724832,0.004770423375074538,0.01419698314108252,0.00800711743772242
2020,0.0026120428924938134,0.0037673651989639746,0.0006289308176100629,0.01084010840108401,0.005172971225347559
2021,0.003003003003003003,0.001532734836873221,0.001366120218579235,,0.0046194710705624205
2022,0.002700617283950617,0.003158559696778269,0.0034482758620689655,,0.003257328990228013
